time/total_timesteps,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
3920,0.01,68,57,448,243.35955056179776,2.168539325842697,0.0002,929,0.002864606212824583
3958,0.01,69,57,452,243.37777777777777,2.1666666666666665,0.0002,939,0.004007649142295122
4002,0.01,69,57,456,243.86813186813185,2.1758241758241756,0.0002,950,0.0422496497631073
4020,0.01,70,57,460,243.3913043478261,2.1630434782608696,0.0002,954,0.02932145446538925
4080,0.01,71,57,464,243.3913043478261,2.1630434782608696,0.0002,969,0.010540415532886982
4130,0.01,72,57,468,244.80645161290323,2.204301075268817,0.0002,982,0.024660978466272354
4162,0.01,72,57,472,245.2340425531915,2.2127659574468086,0.0002,990,0.024881869554519653
4204,0.01,73,57,476,245.37894736842105,2.210526315789474,0.0002,1000,0.009406224824488163
4242,0.01,73,57,480,245.28125,2.2083333333333335,0.0002,1010,0.0035469308495521545
4278,0.01,74,57,484,245.28125,2.2083333333333335,0.0002,1019,0.005991398822516203
4325,0.01,75,57,488,245.1443298969072,2.2061855670103094,0.0002,1031,0.009029047563672066
4356,0.01,75,57,492,245.98979591836735,2.2244897959183674,0.0002,1038,0.0032908704597502947
4387,0.01,76,57,496,245.24242424242425,2.202020202020202,0.0002,1046,0.005188398994505405
4415,0.01,77,57,500,245.36,2.2,0.0002,1053,0.00999404489994049
4440,0.01,77,57,504,245.36,2.2,0.0002,1059,0.00681703956797719
4489,0.01,78,57,508,244.65,2.18,0.0002,1072,0.003349690232425928
4517,0.01,78,57,512,244.87,2.19,0.0002,1079,0.007389652542769909
4593,0.01,80,57,516,247.08,2.25,0.0002,1098,0.009923634119331837
4613,0.01,80,57,520,246.59,2.24,0.0002,1103,0.009155764244496822
4633,0.01,81,57,524,246.59,2.24,0.0002,1108,0.012341725639998913
4672,0.01,81,57,528,246.3,2.22,0.0002,1117,0.008188847452402115
4697,0.01,82,57,532,246.29,2.22,0.0002,1124,0.003731679869815707
4717,0.01,82,57,536,244.76,2.19,0.0002,1129,0.021891025826334953
4765,0.01,83,57,540,244.41,2.18,0.0002,1141,0.00230228784494102
4796,0.01,83,57,544,244.41,2.18,0.0002,1148,0.006768261548131704
4828,0.01,84,57,548,245.29,2.19,0.0002,1156,0.005601351615041494
4848,0.01,84,57,552,244.85,2.18,0.0002,1161,0.003405369119718671
4896,0.01,85,57,556,244.93,2.18,0.0002,1173,0.004161474760621786
4937,0.01,86,56,560,245.25,2.19,0.0002,1184,0.004054524470120668
4985,0.01,87,56,564,245.25,2.19,0.0002,1196,0.00843409076333046
