time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
30,676,190,5764,0.3260711111111113,2.02,241.93,0.009114019572734833,0.0006,940
30,680,190,5784,0.3244266666666668,2.02,242.0,0.008242466486990452,0.0006,945
30,684,190,5822,0.32130222222222243,2.02,242.0,0.0029709755908697844,0.0006,955
30,688,190,5873,0.31710888888888894,2.04,242.89,0.0036616772413253784,0.0006,968
30,692,190,5893,0.3154644444444445,2.04,243.11,0.01489765103906393,0.0006,973
31,696,190,5920,0.3132444444444444,2.03,242.58,0.006132376845926046,0.0006,979
31,700,190,5963,0.309708888888889,2.04,243.1,0.02074941247701645,0.0006,990
31,704,189,5983,0.3080644444444445,2.04,243.1,0.00525101600214839,0.0006,995
31,708,189,6040,0.30337777777777775,2.03,242.76,0.00855799950659275,0.0006,1009
31,712,189,6060,0.30173333333333346,2.03,242.76,0.011066371574997902,0.0006,1014
32,716,189,6080,0.30008888888888896,2.0,241.72,0.01568947546184063,0.0006,1019
32,720,189,6098,0.2986088888888888,1.98,240.93,0.01659855805337429,0.0006,1024
32,724,189,6176,0.29219555555555565,1.98,240.93,0.0033866427838802338,0.0006,1043
32,728,189,6203,0.28997555555555554,2.04,243.21,0.004830576479434967,0.0006,1050
32,732,188,6223,0.2883311111111111,2.02,242.45,0.00913096871227026,0.0006,1055
33,736,188,6288,0.2829866666666667,1.99,241.18,0.011942742392420769,0.0006,1071
33,740,188,6304,0.2816711111111113,2.02,242.12,0.009635049849748611,0.0006,1075
33,744,188,6374,0.27591555555555547,2.02,242.12,0.007408824749290943,0.0006,1093
33,748,188,6394,0.274271111111111,2.04,242.22,0.005266525782644749,0.0006,1098
34,752,188,6428,0.2714755555555558,2.01,241.1,0.00614024605602026,0.0006,1106
34,756,188,6446,0.26999555555555554,2.03,241.79,0.01004776917397976,0.0006,1111
34,760,188,6524,0.26358222222222216,2.08,243.59,0.004998692311346531,0.0006,1130
34,764,188,6558,0.2607866666666666,2.08,243.59,0.003716804785653949,0.0006,1139
35,768,187,6590,0.2581555555555556,2.09,243.78,0.005554128438234329,0.0006,1147
35,772,188,6700,0.24911111111111106,2.11,244.13,0.005356385372579098,0.0006,1174
36,776,188,6781,0.24245111111111117,2.23,248.08,0.00788099318742752,0.0006,1195
36,780,188,6826,0.23875111111111103,2.23,248.01,0.004064452834427357,0.0006,1206
36,784,188,6884,0.2339822222222221,2.23,248.01,0.009843352250754833,0.0006,1220
37,788,188,6967,0.2271577777777779,2.28,249.84,0.008096243254840374,0.0006,1241
37,792,188,7010,0.22362222222222228,2.37,252.22,0.0029991543851792812,0.0006,1252
37,796,188,7051,0.22025111111111118,2.38,252.39,0.003205032553523779,0.0006,1262
37,800,188,7096,0.21655111111111103,2.4,252.8,0.0033868940081447363,0.0006,1273
37,804,187,7134,0.21342666666666665,2.4,252.8,0.009378699585795403,0.0006,1283
38,808,187,7189,0.20890444444444434,2.43,254.15,0.006562970578670502,0.0006,1297
38,812,187,7223,0.2061088888888889,2.45,255.01,0.010206043720245361,0.0006,1305
38,816,187,7268,0.20240888888888897,2.45,254.76,0.006346185691654682,0.0006,1316
39,820,187,7342,0.1963244444444444,2.5,256.56,0.012349109165370464,0.0006,1335
39,824,187,7381,0.19311777777777783,2.5,256.56,0.005181757267564535,0.0006,1345
39,828,187,7406,0.19106222222222224,2.51,256.9,0.005134529434144497,0.0006,1351
40,832,187,7508,0.1826755555555557,2.55,258.45,0.003474039724096656,0.0006,1376
40,836,186,7542,0.17987999999999993,2.59,259.77,0.008548450656235218,0.0006,1385
41,840,186,7691,0.16762888888888894,2.69,264.0,0.002712271176278591,0.0006,1422
41,844,186,7754,0.1624488888888891,2.69,264.0,0.004288800992071629,0.0006,1438
41,848,186,7828,0.15636444444444442,2.71,264.65,0.010806488804519176,0.0006,1456
42,852,186,7874,0.15258222222222229,2.76,266.69,0.008259309455752373,0.0006,1468
42,856,186,7987,0.14329111111111115,2.8,267.92,0.004401153884828091,0.0006,1496
43,860,186,8044,0.13860444444444453,2.84,269.38,0.016107115894556046,0.0006,1510
43,864,186,8118,0.1325200000000002,2.84,269.38,0.00891745463013649,0.0006,1529
43,868,186,8218,0.12429777777777773,2.89,271.49,0.002088826848194003,0.0006,1554
44,872,186,8291,0.1182955555555556,2.93,272.84,0.016008486971259117,0.0006,1572
44,876,186,8359,0.11270444444444461,2.99,274.55,0.00834599882364273,0.0006,1589
45,880,186,8410,0.10851111111111111,3.06,277.22,0.005246141459792852,0.0006,1602
45,884,186,8496,0.10143999999999997,3.06,277.22,0.00882631540298462,0.0006,1623
45,888,186,8576,0.09486222222222218,3.13,280.02,0.008524189703166485,0.0006,1643
46,892,186,8683,0.0860644444444445,3.2,282.24,0.016297416761517525,0.0006,1670
46,896,186,8764,0.07940444444444439,3.31,285.2,0.0035004005767405033,0.0006,1690
47,900,186,8822,0.07463555555555557,3.32,285.72,0.001875944435596466,0.0006,1705
47,904,186,8899,0.06830444444444461,3.32,285.72,0.0037905704230070114,0.0006,1724
48,908,186,8977,0.06189111111111112,3.4,287.58,0.004442165605723858,0.0006,1744
48,912,186,9059,0.06,3.48,289.4,0.008722219616174698,0.0006,1764
49,916,186,9149,0.06,3.52,290.62,0.004418961238116026,0.0006,1787
49,920,186,9221,0.06,3.59,293.38,0.005995720624923706,0.0006,1805
49,924,186,9285,0.06,3.59,293.38,0.004212426021695137,0.0006,1821
50,928,186,9366,0.06,3.62,294.78,0.004845983348786831,0.0006,1841
50,932,186,9423,0.06,3.66,295.83,0.0032761634793132544,0.0006,1855
50,936,186,9511,0.06,3.71,297.74,0.0038638650439679623,0.0006,1877
51,940,186,9558,0.06,3.73,298.48,0.002658013254404068,0.0006,1889
51,944,186,9590,0.06,3.73,298.48,0.002162735676392913,0.0006,1897
51,948,186,9635,0.06,3.74,298.66,0.005686208605766296,0.0006,1908
52,952,186,9709,0.06,3.77,299.67,0.004369530826807022,0.0006,1927
52,956,186,9770,0.06,3.85,301.9,0.00570314284414053,0.0006,1942
52,960,186,9842,0.06,3.9,303.54,0.0031244666315615177,0.0006,1960
53,964,186,9923,0.06,3.9,303.54,0.004445553757250309,0.0006,1980
53,968,186,10005,0.06,3.97,306.31,0.002665902953594923,0.0006,2001
54,972,186,10116,0.06,4.07,310.19,0.010307377204298973,0.0006,2028
54,976,186,10139,0.06,4.12,312.05,0.011348209343850613,0.0006,2034
54,980,186,10211,0.06,4.14,312.61,0.009700157679617405,0.0006,2052
55,984,186,10302,0.06,4.14,312.61,0.004963416140526533,0.0006,2075
55,988,186,10406,0.06,4.2,315.36,0.008614720776677132,0.0006,2101
56,992,186,10492,0.06,4.33,319.32,0.004635644145309925,0.0006,2122
56,996,186,10542,0.06,4.37,320.49,0.006126058753579855,0.0006,2135
57,1000,186,10638,0.06,4.46,323.57,0.0032815495505928993,0.0006,2159
57,1004,186,10695,0.06,4.46,323.57,0.0039372374303638935,0.0006,2173
57,1008,186,10746,0.06,4.48,324.24,0.007265408523380756,0.0006,2186
58,1012,186,10873,0.06,4.53,326.09,0.005093044601380825,0.0006,2218
58,1016,186,10959,0.06,4.63,330.19,0.002628697082400322,0.0006,2239
59,1020,186,11074,0.06,4.75,334.24,0.007362207397818565,0.0006,2268
59,1024,186,11160,0.06,4.75,334.24,0.004081639926880598,0.0006,2289
60,1028,186,11284,0.06,4.85,338.39,0.0031755666714161634,0.0006,2320
60,1032,186,11316,0.06,4.92,340.93,0.005601285956799984,0.0006,2328
61,1036,186,11403,0.06,4.99,343.71,0.005250077228993177,0.0006,2350
61,1040,186,11539,0.06,5.09,348.33,0.004044769331812859,0.0006,2384
62,1044,186,11641,0.06,5.09,348.33,0.005944674368947744,0.0006,2410
63,1048,186,11770,0.06,5.2,352.73,0.004400411155074835,0.0006,2442
63,1052,186,11885,0.06,5.28,356.25,0.007880083285272121,0.0006,2471
64,1056,186,11992,0.06,5.38,359.09,0.004519392736256123,0.0006,2497
64,1060,186,12086,0.06,5.55,363.57,0.009888201020658016,0.0006,2521
65,1064,186,12168,0.06,5.55,363.57,0.008935201913118362,0.0006,2541
65,1068,186,12238,0.06,5.61,365.59,0.004348764196038246,0.0006,2559
66,1072,186,12338,0.06,5.69,368.36,0.004616835620254278,0.0006,2584
66,1076,186,12469,0.06,5.76,371.32,0.0029834245797246695,0.0006,2617
67,1080,186,12527,0.06,5.82,373.64,0.0038743026088923216,0.0006,2631
67,1084,186,12637,0.06,5.82,373.64,0.007483009248971939,0.0006,2659
68,1088,186,12706,0.06,5.9,376.34,0.008432953618466854,0.0006,2676
68,1092,186,12798,0.06,6.03,379.07,0.0055961161851882935,0.0006,2699
68,1096,186,12821,0.06,6.06,380.15,0.006465009413659573,0.0006,2705
69,1100,186,12892,0.06,6.11,381.87,0.008480804041028023,0.0006,2722
69,1104,186,12919,0.06,6.11,381.87,0.00481270719319582,0.0006,2729
70,1108,186,13046,0.06,6.16,384.1,0.009131938219070435,0.0006,2761
70,1112,186,13073,0.06,6.22,386.26,0.005050557665526867,0.0006,2768
70,1116,186,13175,0.06,6.26,387.93,0.0029524543788284063,0.0006,2793
71,1120,186,13291,0.06,6.33,390.13,0.007728345226496458,0.0006,2822
71,1124,186,13380,0.06,6.33,390.13,0.004368897527456284,0.0006,2844
72,1128,186,13426,0.06,6.4,392.63,0.007491530384868383,0.0006,2856
72,1132,186,13504,0.06,6.43,393.72,0.0033581461757421494,0.0006,2875
72,1136,186,13583,0.06,6.47,395.24,0.005966787226498127,0.0006,2895
73,1140,186,13661,0.06,6.53,397.17,0.004887291695922613,0.0006,2915
74,1144,186,13772,0.06,6.53,397.17,0.003745195921510458,0.0006,2942
74,1148,186,13877,0.06,6.63,399.24,0.006224092096090317,0.0006,2969
75,1152,186,13959,0.06,6.71,402.47,0.009163759648799896,0.0006,2989
75,1156,186,14074,0.06,6.79,405.84,0.0052293143235147,0.0006,3018
76,1160,186,14152,0.06,6.9,410.07,0.014628343284130096,0.0006,3037
76,1164,186,14226,0.06,6.9,410.07,0.003579049836844206,0.0006,3056
76,1168,186,14324,0.06,6.98,413.44,0.002513354178518057,0.0006,3080
77,1172,186,14438,0.06,7.05,415.17,0.008542239665985107,0.0006,3109
77,1176,186,14506,0.06,7.11,417.71,0.006760846823453903,0.0006,3126
78,1180,186,14584,0.06,7.25,421.63,0.009540582075715065,0.0006,3145
78,1184,186,14674,0.06,7.25,421.63,0.0020402916707098484,0.0006,3168
79,1188,186,14746,0.06,7.33,423.73,0.0023737093433737755,0.0006,3186
79,1192,186,14849,0.06,7.4,426.48,0.0028287721797823906,0.0006,3212
80,1196,186,14927,0.06,7.49,430.15,0.002196935936808586,0.0006,3231
80,1200,186,14968,0.06,7.5,430.18,0.003520953468978405,0.0006,3241
80,1204,186,15049,0.06,7.5,430.18,0.005370746366679668,0.0006,3262
81,1208,186,15169,0.06,7.63,432.48,0.016966475173830986,0.0006,3292
81,1212,186,15264,0.06,7.75,436.26,0.003760803025215864,0.0006,3315
82,1216,186,15369,0.06,7.84,439.62,0.003516163444146514,0.0006,3342
83,1220,186,15482,0.06,8.0,445.26,0.004414014518260956,0.0006,3370
83,1224,186,15609,0.06,8.0,445.26,0.009409770369529724,0.0006,3402
84,1228,186,15688,0.06,8.17,447.61,0.0076311565935611725,0.0006,3421
84,1232,186,15770,0.06,8.22,449.78,0.003376718144863844,0.0006,3442
85,1236,186,15854,0.06,8.41,453.76,0.0031017407309263945,0.0006,3463
85,1240,186,15934,0.06,8.45,455.39,0.003353446489199996,0.0006,3483
86,1244,185,16040,0.06,8.45,455.39,0.0034818812273442745,0.0006,3509
86,1248,185,16090,0.06,8.51,456.85,0.0038724890910089016,0.0006,3522
86,1252,185,16153,0.06,8.55,458.01,0.0032651673536747694,0.0006,3538
87,1256,185,16269,0.06,8.63,461.01,0.0037414124235510826,0.0006,3567
88,1260,185,16353,0.06,8.74,462.96,0.002311785239726305,0.0006,3588
88,1264,185,16442,0.06,8.74,462.96,0.0026070233434438705,0.0006,3610
88,1268,185,16532,0.06,8.8,465.19,0.01193295605480671,0.0006,3632
89,1272,185,16612,0.06,8.82,466.05,0.004089632071554661,0.0006,3652
89,1276,185,16707,0.06,8.82,465.61,0.005800703074783087,0.0006,3676
90,1280,185,16797,0.06,8.91,468.72,0.00448676897212863,0.0006,3699
90,1284,185,16838,0.06,8.91,468.72,0.0058742305263876915,0.0006,3709
91,1288,185,16942,0.06,8.9,468.14,0.003351269755512476,0.0006,3735
91,1292,185,17025,0.06,8.95,469.75,0.010610869154334068,0.0006,3756
92,1296,185,17158,0.06,9.02,472.75,0.004814631305634975,0.0006,3789
92,1300,185,17230,0.06,9.09,475.43,0.0036165944766253233,0.0006,3807
93,1304,185,17330,0.06,9.09,475.43,0.0036015636287629604,0.0006,3832
93,1308,185,17409,0.06,9.2,477.65,0.005481993313878775,0.0006,3852
94,1312,185,17524,0.06,9.26,479.45,0.004662322346121073,0.0006,3880
94,1316,185,17661,0.06,9.37,484.26,0.0032679513096809387,0.0006,3915
95,1320,185,17763,0.06,9.49,486.92,0.0023679914884269238,0.0006,3940
96,1324,185,17892,0.06,9.49,486.92,0.01025217492133379,0.0006,3972
